"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.665900400E-1,2.011872053E0,3.870982647E0,1.375998497E0,4.574440695E0
6.765900400E-1,-5.725219250E-1,6.060223579E0,1.007277369E-1,6.088040511E0
6.865900400E-1,-1.514760375E0,6.775493145E0,-5.881944895E-1,6.967623634E0
6.965900400E-1,-1.685729861E0,6.636095524E0,-1.120420337E0,6.937924091E0
7.065900400E-1,-2.023437023E0,6.647961617E0,-1.122845411E0,7.039209676E0
7.165900400E-1,-2.045479298E0,6.213339806E0,-9.960153103E-1,6.616768365E0
7.265900400E-1,-2.108870268E0,5.642735481E0,-3.506956100E-1,6.034134978E0
7.365900400E-1,-2.337322474E0,5.111814499E0,1.733680725E0,5.882123143E0
7.465900400E-1,-2.410977364E0,4.905935287E0,6.013204575E0,8.126477844E0
7.565900400E-1,-4.310390949E-1,5.160078526E0,3.655095673E1,3.691591314E1
7.665900400E-1,-1.244165802E1,1.250333595E1,2.588020134E1,3.131953201E1
7.765900400E-1,-1.475427151E0,8.474787712E0,9.061145782E-1,8.649852928E0
7.865900730E-1,-9.487794042E-1,7.536598682E0,-6.566729546E-1,7.624416137E0
7.965900730E-1,-1.137858391E0,6.609209061E0,-3.097549677E0,7.387230883E0
8.065903730E-1,-1.662789583E0,6.429327011E0,-2.795292377E0,7.205190802E0
8.165903730E-1,-1.406343102E0,6.479019165E0,1.276000023E0,6.751567694E0
8.265904060E-1,-1.260783195E0,6.532254696E0,2.232018948E0,7.017252615E0
8.365903720E-1,-8.973909616E-1,6.558988094E0,5.409826756E0,8.549377807E0
8.465903720E-1,-8.889679909E-1,6.158034325E0,7.803281784E0,9.980123117E0
8.565903720E-1,-3.492967606E0,9.111907959E0,2.697762012E0,1.012450538E1
8.665903720E-1,-3.457417011E0,8.964656830E0,2.551382542E0,9.941245261E0
8.765903720E-1,-1.438730240E0,5.801802635E0,2.290318489E0,6.401282473E0
8.865903720E-1,-2.085825682E0,4.797672749E0,2.292342186E0,5.711669220E0
8.965903720E-1,-2.254076481E0,7.452885151E0,3.163389206E0,8.404367265E0
9.065902380E-1,-2.453469992E0,7.397637367E0,2.914581776E0,8.321017999E0
9.165902380E-1,-2.040918827E0,6.114839077E0,2.880835533E0,7.060865384E0
9.265902380E-1,-2.147642136E0,6.700071812E0,2.722031593E0,7.544056271E0
9.365902380E-1,-2.254465580E0,6.650778294E0,2.946047306E0,7.615422621E0
9.465902380E-1,-2.103831053E0,6.446600914E0,2.846773148E0,7.354514654E0
9.565902380E-1,-2.227416515E0,6.808151245E0,2.765668392E0,7.678621580E0
9.665902380E-1,-2.176909447E0,6.495303631E0,2.883814335E0,7.432650208E0
9.765902380E-1,-2.212638617E0,6.671001434E0,2.796036720E0,7.564116017E0
9.865902380E-1,-2.210858345E0,6.572416782E0,2.870039940E0,7.504777561E0
9.965902380E-1,-2.167409897E0,6.663363457E0,2.807658195E0,7.548577532E0
1.006590238E0,-2.187143564E0,6.649177551E0,2.836718559E0,7.552624131E0
