"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.143071700E-2,-5.472750664E-1,2.393823266E-1,-9.697864532E0,9.716243636E0
4.142971700E-2,-5.260702372E-1,2.388882041E-1,-9.699086189E0,9.716279657E0
5.142971700E-2,-4.977011979E-1,2.574786842E-1,-9.618861198E0,9.635169563E0
6.142971700E-2,-4.621318579E-1,2.592703402E-1,-9.596055031E0,9.610674228E0
7.143005000E-2,-4.997339845E-1,4.661436975E-1,-9.553127289E0,9.577539611E0
8.143005000E-2,-5.557919741E-1,6.584652662E-1,-9.513360977E0,9.552304345E0
9.143005000E-2,-6.257998347E-1,8.624313474E-1,-9.455305099E0,9.515156740E0
1.014300500E-1,-6.764100194E-1,1.048999310E0,-9.400638580E0,9.483139553E0
1.114301920E-1,-7.245242000E-1,1.222681999E0,-9.359075546E0,9.466371093E0
1.214303170E-1,-7.846168876E-1,1.414497375E0,-9.304400444E0,9.443955427E0
1.314303170E-1,-8.495135903E-1,1.599925518E0,-9.251202583E0,9.426886243E0
1.414304170E-1,-9.240676165E-1,1.788418770E0,-9.132596016E0,9.351826166E0
1.514305070E-1,-9.917236567E-1,1.955680132E0,-9.087637901E0,9.348441753E0
1.614305070E-1,-1.066734314E0,2.125469446E0,-9.018362999E0,9.326650720E0
1.714305070E-1,-1.130010843E0,2.278334618E0,-8.934562683E0,9.289464111E0
1.814305070E-1,-1.203197122E0,2.452367306E0,-8.817281723E0,9.230722924E0
1.914305730E-1,-1.291060686E0,2.592227697E0,-8.752948761E0,9.219576679E0
2.014306350E-1,-1.345713496E0,2.743091106E0,-8.674777985E0,9.197133614E0
2.114306350E-1,-1.441659689E0,2.892523289E0,-8.566287994E0,9.155673849E0
2.214306900E-1,-1.543032646E0,3.030891180E0,-8.451591492E0,9.110249713E0
2.314307420E-1,-1.633264661E0,3.157746077E0,-8.354919434E0,9.079845399E0
2.414307420E-1,-1.738617182E0,3.268246412E0,-8.269277573E0,9.060086969E0
2.514307420E-1,-1.830519080E0,3.390725374E0,-8.115927696E0,8.984213991E0
2.614307420E-1,-4.477726936E0,3.108259678E0,8.870306015E-1,5.522512112E0
2.714307850E-1,-2.894256973E1,-3.296256256E1,6.199880219E1,7.594770797E1
2.814308260E-1,-1.126354027E1,-7.429985809E1,6.222326660E1,9.756572738E1
2.914308260E-1,7.914513588E0,-2.940247154E1,-5.882102966E1,6.623487291E1
3.014308640E-1,-3.623192549E0,-7.819838047E0,1.403815174E1,1.647261654E1
3.114309010E-1,-5.785573483E0,-5.872988224E0,1.640379715E1,1.835890553E1
3.214309010E-1,-6.835517883E0,-2.250850201E0,8.943083763E0,1.147908440E1
3.314309010E-1,-5.447431087E0,1.069316864E-1,-2.524409771E0,6.004880060E0
3.414309010E-1,-4.087591171E0,1.611353874E0,-7.716160774E0,8.879414394E0
3.514309340E-1,-4.009239197E0,2.151968956E0,-7.503018379E0,8.774978867E0
3.614309340E-1,-3.802937031E0,2.721145630E0,-7.458030701E0,8.802794189E0
3.714309000E-1,-3.824393511E0,3.206367970E0,-6.760596275E0,8.403121044E0
3.814309000E-1,-4.861469746E0,3.532943249E0,-3.184987068E0,6.801449751E0
3.914309330E-1,-4.984521866E0,3.929379463E0,-2.219838619E0,6.724073519E0
4.014309660E-1,-5.956090927E0,4.134926796E0,9.418110847E-1,7.311610415E0
4.114309320E-1,-6.929824352E0,4.217103481E0,3.587084293E0,8.869814037E0
