"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.214308980E-1,-7.150263786E0,3.966173172E0,4.002482414E0,9.103662303E0
4.314309310E-1,-5.954946041E0,3.557172775E0,2.851378441E0,7.499681294E0
4.414308970E-1,-3.391901493E0,2.877130508E0,2.166944504E0,4.947577608E0
4.514308630E-1,-3.638845682E-1,1.677383423E0,2.559369087E0,3.081622503E0
4.614308630E-1,6.214788556E-1,-3.626632690E-2,3.491155148E0,3.546225526E0
4.714308960E-1,5.414783955E-2,-7.705187798E-1,3.083480358E0,3.178754834E0
4.814309290E-1,-6.929916143E-1,-9.444036484E-1,7.659168243E-1,1.399558577E0
4.914308950E-1,-8.933054209E-1,-6.605234146E-1,-2.230928421E0,2.492253473E0
5.014308950E-1,-8.575593233E-1,-1.325988770E-2,-4.411393642E0,4.493993512E0
5.114309280E-1,-9.219786525E-1,-6.353449821E-1,-4.167282581E0,4.315084240E0
5.214308940E-1,-1.164747000E0,-7.071650028E-1,-3.195403099E0,3.473804669E0
5.314308600E-1,-1.857212901E0,-9.074511528E-1,-2.054034710E0,2.914063476E0
5.414308600E-1,-3.896570206E0,1.270303059E1,9.129664421E0,1.612144590E1
5.514307930E-1,-2.670484781E0,1.619474602E1,1.393842030E1,2.153324982E1
5.614308260E-1,2.723713398E0,6.900053024E0,1.329099464E1,1.522103430E1
5.714307920E-1,2.086914062E0,1.372750998E0,1.407226562E0,2.867044158E0
5.814307580E-1,-5.747041106E-1,2.185866833E-1,-4.942849636E0,4.980946444E0
5.914307580E-1,-6.896524429E-1,3.186002970E-1,-4.961162090E0,5.018989533E0
6.014307580E-1,-7.914987803E-1,4.182052612E-2,-3.228005886E0,3.323889480E0
6.114307240E-1,-5.899605751E-1,-2.929915190E-1,1.073360443E-2,6.587964182E-1
6.214307240E-1,8.016645908E-3,5.028141737E-1,1.799738884E0,1.868675041E0
6.314307570E-1,7.159375548E-1,2.139857292E0,1.727021217E0,2.841506308E0
6.414307570E-1,-1.971138120E-1,3.565675259E0,7.423725128E-1,3.647466361E0
6.514307230E-1,-6.102359891E-1,1.609928489E0,-3.872632980E-1,1.764718267E0
6.614307230E-1,-5.498972535E-1,2.422665358E-1,-1.872758865E-1,6.294063246E-1
6.714307230E-1,-3.137065768E-1,9.396374226E-1,2.529211044E-1,1.022398840E0
6.814307560E-1,-2.047992945E-1,2.098197699E0,4.525661469E-2,2.108654665E0
6.914307220E-1,-3.089074790E-1,1.689280510E0,3.819084167E-2,1.717716802E0
7.014306880E-1,-3.673011363E-1,1.213789344E0,1.047315598E-1,1.272463514E0
7.114307210E-1,-3.711823523E-1,1.394384623E0,1.487731934E-2,1.443019802E0
7.214307210E-1,-2.773654461E-1,1.719124675E0,1.104965210E-1,1.744858367E0
7.314306870E-1,-2.900699973E-1,1.342096806E0,9.805965424E-2,1.376582774E0
7.414306870E-1,-3.413263559E-1,1.557444811E0,1.582908630E-1,1.602246553E0
7.514307200E-1,-2.946953773E-1,1.599007487E0,1.559591293E-1,1.633399388E0
7.614307530E-1,-2.641887069E-1,1.429763913E0,6.238269806E-2,1.455304821E0
7.714307190E-1,-3.682623208E-1,1.377573013E0,9.842395782E-2,1.429339645E0
7.814306850E-1,-2.780110836E-1,1.477573752E0,9.436893463E-2,1.506459376E0
7.914307180E-1,-2.759475112E-1,1.446433663E0,6.383419037E-2,1.473903720E0
8.014306840E-1,-3.202311993E-1,1.390185475E0,7.423400879E-2,1.428521741E0
8.114306500E-1,-3.172609806E-1,1.422770739E0,1.492300034E-1,1.465332965E0
8.214306500E-1,-2.906685174E-1,1.415932417E0,5.171966553E-2,1.446384361E0
8.314306830E-1,-3.060141802E-1,1.374053836E0,6.454086304E-2,1.409196276E0
8.414307160E-1,-3.130059838E-1,1.385008216E0,1.324014664E-1,1.426096298E0
8.514307820E-1,-2.624838948E-1,1.366428614E0,5.890750885E-2,1.392657548E0
8.614307480E-1,-3.016306162E-1,1.345854163E0,1.004571915E-1,1.382894105E0
8.714307480E-1,-3.015002608E-1,1.337050676E0,1.084251404E-1,1.374904698E0
8.814307810E-1,-2.675709724E-1,1.344789028E0,5.411624908E-2,1.372217302E0
8.914307810E-1,-2.778687179E-1,1.312204599E0,7.414722443E-2,1.343350195E0
9.014307470E-1,-2.876253128E-1,1.305895567E0,9.176254272E-2,1.340340224E0
9.114307800E-1,-2.777735591E-1,1.299385190E0,6.863975525E-2,1.330515478E0
9.214308130E-1,-2.492619306E-1,1.283547401E0,4.559040070E-2,1.308321033E0
9.314307790E-1,-2.761404514E-1,1.282247663E0,6.089591980E-2,1.313057855E0
9.414308120E-1,-2.737244368E-1,1.249758005E0,6.420803070E-2,1.280992900E0
9.514308450E-1,-1.432503164E-1,6.993766427E-1,2.088260651E-2,7.142019496E-1
9.614308450E-1,-9.338791668E-2,3.800720572E-1,6.958007812E-3,3.914389934E-1
9.714308450E-1,-3.836806118E-2,1.809151173E-1,-2.224731445E-2,1.862721954E-1
9.814308110E-1,-4.564663768E-2,1.560261250E-1,-2.294254303E-2,1.641771223E-1
9.914308440E-1,-3.893864155E-2,1.262533367E-1,-2.328205109E-2,1.341572835E-1
1.001430844E0,-2.237330377E-2,7.685263455E-2,2.816200256E-3,8.009259106E-2
